jenis_api
Ambai
Anco
Bagan Apung
Bagan Apung Teri
Bagan Berperahu
Bagan Berperahu Teri
Bagan Tancap
Bale-bale
Bouke Ami
Bubu
Bubu Bersayap
Bubu Bersayap glass eel
Bubu Gurita
Bubu Naga
Dogol
Huhate
Huhate Mekanis
Jala Jatuh Berkapal
Jala Tebar
Jaring Angkat Lainnya
Jaring Hela Dasar
Jaring Hela Ikan Berkantong
Jaring Hela Udang Berkantong
Jaring Insang Berlapis
Jaring Insang Berpancang
Jaring Insang Hanyut
Jaring Insang Horizontal
Jaring Insang Kombinasi
Jaring Insang Lainnya
Jaring Insang Lingkar
Jaring Insang Tetap
Jaring Lingkar Tanpa Tali Kerut
Jaring Tarik Berkantong
Jaring Tarik Lainnya
Jaring Tarik Pantai
Jaring Tarik Sempadan
Jermal
Ladung
Lampara Dasar
Muro Ami
Pair Seine
Panah
Pancing Berjoran
Pancing Cumi
Pancing Cumi Mekanis
Pancing Layang-Layang
Pancing Ulur
Pancing Ulur Tuna
Payang
Payang Teri
Pengerih
Penggaruk Berkapal
Penggaruk Tanpa Kapal
Perangkap Benih Bening Lobster
Perangkap Benih Lobster
Perangkap Ikan Peloncat
Perre-perre
Pukat Cincin Pelagis Besar Dalam Kesatuan Armada
Pukat Cincin Pelagis Besar Dengan Satu Kapal
Pukat Cincin Pelagis Kecil Dalam Kesatuan Armada
Pukat Cincin Pelagis Kecil Dengan Dua Kapal
Pukat Cincin Pelagis Kecil Dengan Satu Kapal
Pukat Cincin Teri Dengan Satu Kapal
Pukat Dorong
Pukat Harimau
Pukat Hela Dasar Berpalang
Pukat Hela Dasar Dua Kapal
Pukat Hela Dasar Udang
Pukat Hela Kembar Berpapan
Pukat Hela Pertengahan Dua Kapal
Pukat Ikan
Pukat Labuh
Pukat Labuh Teri
Rawai Dasar
Rawai Tuna
Sero
Seser
Set Net
Togo
Tombak
Tonda
