jenis_ikan_nama_latin,jenis_ikan,nama_latin,kode_fao,kelompok_sdi
Kerong-Kerong Jarbua - Terapon Jarbua,Kerong-Kerong Jarbua,Terapon Jarbua,TJB,Demersal
Kerong-Kerong Padi - Terapon Puta,Kerong-Kerong Padi,Terapon Puta,TEU,Demersal
Ketang-Ketang - Drepane Punctata,Ketang-Ketang,Drepane Punctata,SPS,Demersal
Keting - Mystus Nigriceps,Keting,Mystus Nigriceps,BMZ,Ikan Air Tawar
Kijing - Pilsbryoconcha Exilis,Kijing,Pilsbryoconcha Exilis,NJO,Binatang Lunak
Kima Cina - Hippopus Porcellanus,Kima Cina,Hippopus Porcellanus,HJQ,binatang lunak
Kima Kecil - Tridacna Maxima,Kima Kecil,Tridacna Maxima,DKX,binatang lunak
Kima Sisik - Tridacna Squamosa,Kima Sisik,Tridacna Squamosa,TDS,binatang lunak
Kiper - Scatophagus Argus,Kiper,Scatophagus Argus,TFG,Ikan Karang
Kiper Laut - Coradion Chrysozonus,Kiper Laut,Coradion Chrysozonus,,Ikan Karang
Kleket - Pardachirus Pavoninus,Kleket,Pardachirus Pavoninus,ADJ,Demersal
Kod - Melanogrammus Aeglefinus,Kod,Melanogrammus Aeglefinus,HAD,demersal
Kod Alaska - Gadus Chalcogrammus,Kod Alaska,Gadus Chalcogrammus,ALK,demersal
Kod Atlantik - Gadus Morhua,Kod Atlantik,Gadus Morhua,COD,demersal
Kod Hitam - Notothenia Microlepidota,Kod Hitam,Notothenia Microlepidota,NHJ,demersal
Komodo Cardinalfish - Ostorhinchus Komodoensis,Komodo Cardinalfish,Ostorhinchus Komodoensis,,ikan karang
Krapu Abu-Abu Noda Putih - Epinephalus Multinotatus,Krapu Abu-Abu Noda Putih,Epinephalus Multinotatus,,ikan karang
Kuda Laut Landak - Hippocampus Spinosissimus,Kuda Laut Landak,Hippocampus Spinosissimus,,ikan karang
Kumai - Naso Tuberosus,Kumai,Naso Tuberosus,,ikan karang
Kumai Bali - Naso Hexacanthus,Kumai Bali,Naso Hexacanthus,QJR,ikan karang
Kumai Barred - Naso Thynnoides,Kumai Barred,Naso Thynnoides,,ikan karang
Kumai Ekor Putih - Naso Brevirostris,Kumai Ekor Putih,Naso Brevirostris,NAB,ikan karang
Kumai Putih - Naso Annulatus,Kumai Putih,Naso Annulatus,NBH,Ikan Karang
Kumeje Batu - Parascolopsis Inermis,Kumeje Batu,Parascolopsis Inermis,QNU,Demersal
Kumeje Batu Rosy - Parascolopsis Eriomma,Kumeje Batu Rosy,Parascolopsis Eriomma,NJF,Demersal
Kumeje Batu Yellowband Monocle - Parascolopsis Rufomaculatus,Kumeje Batu Yellowband Monocle,Parascolopsis Rufomaculatus,,demersal
Kumeje Batu Yellowsnout Large-Eye - Gymnocranius Frenatus,Kumeje Batu Yellowsnout Large-Eye,Gymnocranius Frenatus,GME,demersal
Kuniran - Upeneus Sulphureus,Kuniran,Upeneus Sulphureus,UPS,Demersal
Kuniran Bintik - Upeneus Tragula,Kuniran Bintik,Upeneus Tragula,UPT,Demersal
Kuniran Empat Strip - Upeneus Quadrilineatus,Kuniran Empat Strip,Upeneus Quadrilineatus,,demersal
Kuniran Gurat Emas - Upeneus Moluccensis,Kuniran Gurat Emas,Upeneus Moluccensis,UPM,Demersal
Kuniran; Biji Nangka - Parupeneus Cinnabarius,Kuniran; Biji Nangka,Parupeneus Cinnabarius,,Demersal
Kuniran; Biji Nangka - Upeneus Asymmetricus,Kuniran; Biji Nangka,Upeneus Asymmetricus,UBZ,Demersal
Kupang Cardinalfish - Ostorhinchus Wassinki,Kupang Cardinalfish,Ostorhinchus Wassinki,,ikan karang
Kurisi - Nemipterus Nematophorus,Kurisi,Nemipterus Nematophorus,,Demersal
Kurisi Anggun - Nemipterus Gracilis,Kurisi Anggun,Nemipterus Gracilis,NNR,Demersal
Kurisi Aurora - Nemipterus Aurora,Kurisi Aurora,Nemipterus Aurora,,Demersal
Kurisi Bali Bunga Kuning - Pristipomoides Auricilla,Kurisi Bali Bunga Kuning,Pristipomoides Auricilla,LWA,Demersal
Kurisi Bali Gigi Tajam - Pristipomoides Typus,Kurisi Bali Gigi Tajam,Pristipomoides Typus,LRU,Ikan Karang
Kurisi Bali Lavender - Pristipomoides Sieboldii,Kurisi Bali Lavender,Pristipomoides Sieboldii,LRB,Ikan Karang
Kurisi Bali Mawar - Pristipomoides Filamentosus,Kurisi Bali Mawar,Pristipomoides Filamentosus,PFM,Ikan Karang
Kurisi Bali Pita Emas - Pristipomoides Multidens,Kurisi Bali Pita Emas,Pristipomoides Multidens,LRI,Ikan Karang
Kurisi Benang Emas - Nemipterus Virgatus,Kurisi Benang Emas,Nemipterus Virgatus,THG,Demersal
Kurisi Cambuk Ganda - Nemipterus Nematophorus,Kurisi Cambuk Ganda,Nemipterus Nematophorus,NNF,Demersal
Kurisi Duri Merah - Nemipterus Nemurus,Kurisi Duri Merah,Nemipterus Nemurus,NNQ,Demersal
Kurisi Enam Garis Putih - Nemipterus Hexodon,Kurisi Enam Garis Putih,Nemipterus Hexodon,NNH,Demersal
Kurisi Hijau - Aprion Virescens,Kurisi Hijau,Aprion Virescens,AVR,Demersal
Kurisi Jepang - Nemipterus Japonicus,Kurisi Jepang,Nemipterus Japonicus,NNJ,Ikan Karang
Kurisi Lima Garis - Nemipterus Tambuloides,Kurisi Lima Garis,Nemipterus Tambuloides,NND,Demersal
Kurisi Perak - Aphareus Rutilans,Kurisi Perak,Aphareus Rutilans,ARQ,Ikan Karang
Kurisi Ramping - Nemipterus Zysron,Kurisi Ramping,Nemipterus Zysron,KZI,Demersal
Kurisi Sirip Benang Bali - Nemipterus Balinensis,Kurisi Sirip Benang Bali,Nemipterus Balinensis,NNI,Demersal
Kurisi Sirip Benang Merah - Nemipterus Marginatus,Kurisi Sirip Benang Merah,Nemipterus Marginatus,NNM,Demersal
Kurisi Sirip Berlekuk - Nemipterus Peronii,Kurisi Sirip Berlekuk,Nemipterus Peronii,NNK,Demersal
Kurisi Sirip Kerdil - Nemipterus Balinensoides,Kurisi Sirip Kerdil,Nemipterus Balinensoides,,Demersal
Kurisi Sirip Merah - Nemipterus Furcosus,Kurisi Sirip Merah,Nemipterus Furcosus,QJT,Demersal
Kurisi Sirip Ujung Kuning - Nemipterus Nematopus,Kurisi Sirip Ujung Kuning,Nemipterus Nematopus,,Demersal
Kurisi Yellowbelly Threadfin - Nemiptures Bathyibius,Kurisi Yellowbelly Threadfin,Nemiptures Bathyibius,,demersal
Kuro - Polydactylus Spp,Kuro,Polydactylus Spp,QHX,Demersal
Kuro; Senangin - Filimanus Xanthonema,Kuro; Senangin,Filimanus Xanthonema,QRW,Demersal
Kutu Laut - Acanthopleura Gemmata,Kutu Laut,Acanthopleura Gemmata,,ikan karang
Kuwe - Carangoides Armatus,Kuwe,Carangoides Armatus,NGR,Demersal
Kuwe - Carangoides Bajad,Kuwe,Carangoides Bajad,NGJ,Demersal
Kuwe - Carangoides Caeruleopinnatus,Kuwe,Carangoides Caeruleopinnatus,,Demersal
Kuwe - Carangoides Chrysophrys,Kuwe,Carangoides Chrysophrys,NGH,Demersal
Kuwe - Carangoides Ciliarius,Kuwe,Carangoides Ciliarius,,Demersal
Kuwe - Carangoides Coeruleopinnatus,Kuwe,Carangoides Coeruleopinnatus,,Demersal
Kuwe - Carangoides Dinema,Kuwe,Carangoides Dinema,NGD,Demersal
Kuwe - Carangoides Equula,Kuwe,Carangoides Equula,NGQ,Demersal
Kuwe - Carangoides Ferdau,Kuwe,Carangoides Ferdau,,Demersal
Kuwe - Carangoides Hedlandensis,Kuwe,Carangoides Hedlandensis,NGE,Demersal
Kuwe - Carangoides Malabaricus,Kuwe,Carangoides Malabaricus,NGS,Demersal
Kuwe - Carangoides Plagiotaenia,Kuwe,Carangoides Plagiotaenia,GSP,Demersal
Kuwe - Caranx Sp,Kuwe,Caranx Sp,TRE,Demersal
Kuwe - Pseudocaranx Dentex,Kuwe,Pseudocaranx Dentex,TRZ,ikan karang
