jenis_ikan_nama_latin,jenis_ikan,nama_latin,kode_fao,kelompok_sdi
Lobster Batu - Panulirus Penicillatus,Lobster Batu,Panulirus Penicillatus,NUP,Binatang Berkulit Keras
Lobster Kipas - Pambacus Caleodonicus,Lobster Kipas,Pambacus Caleodonicus,,binatang berkulit keras
Lobster Mutiara - Panulirus Ornatus,Lobster Mutiara,Panulirus Ornatus,NUR,Binatang Berkulit Keras
Lobster Norway - Nephrops Norvegicus,Lobster Norway,Nephrops Norvegicus,NEP,binatang berkulit keras
Lobster Pakistan - Panulirus Polyphagus,Lobster Pakistan,Panulirus Polyphagus,LMS,Binatang Berkulit Keras
Lobster Pasir - Panulirus Homarus,Lobster Pasir,Panulirus Homarus,LOK,Binatang Berkulit Keras
Lola - Rochia Nilotica,Lola,Rochia Nilotica,RQN,binatang lunak
Lola - Trochus Niloticus,Lola,Trochus Niloticus,RQN,Binatang Lunak
Lola Putih - Tectus Pyramis,Lola Putih,Tectus Pyramis,EQY,binatang lunak
Lolosi Biru - Caesio Caerulaurea,Lolosi Biru,Caesio Caerulaurea,CJC,Ikan Karang
Lolosi Papan - Caesio Erythrogaster,Lolosi Papan,Caesio Erythrogaster,,Ikan Karang
Lombok Swallowtail - Odontanthias Randalli,Lombok Swallowtail,Odontanthias Randalli,,ikan karang
Longfin Perchlet - Plectranthias Longimanus,Longfin Perchlet,Plectranthias Longimanus,,ikan karang
Lumba-Lumba Abu-Abu - Grampus Griseus,Lumba-Lumba Abu-Abu,Grampus Griseus,DRR,binatang air lainnya
Lumba-Lumba Abu-Abu - Tursiop Aduncus,Lumba-Lumba Abu-Abu,Tursiop Aduncus,,binatang air lainnya
Lumba-Lumba Bergaris - Stenella Coeruleoalba,Lumba-Lumba Bergaris,Stenella Coeruleoalba,DST,binatang air lainnya
Lumba-Lumba Biasa - Delphinus Delphis,Lumba-Lumba Biasa,Delphinus Delphis,DCO,binatang air lainnya
Lumba-Lumba Fraser - Lagenodelphis Hosei,Lumba-Lumba Fraser,Lagenodelphis Hosei,FRD,binatang air lainnya
Lumba-Lumba Gigi Kasar - Steno Bredanensis,Lumba-Lumba Gigi Kasar,Steno Bredanensis,RTD,binatang air lainnya
Lumba-Lumba Hidung Botol - Tursiops Truncatus,Lumba-Lumba Hidung Botol,Tursiops Truncatus,DBO,binatang air lainnya
Lumbalumba Hidung Botol Indopasifik - Tursiops Aduncus,Lumbalumba Hidung Botol Indopasifik,Tursiops Aduncus,DBZ,0
Lumba-Lumba Moncong Panjang - Delphinus Capensis,Lumba-Lumba Moncong Panjang,Delphinus Capensis,DCZ,binatang air lainnya
Lumba-Lumba Paruh Panjang - Stenella Longirostris,Lumba-Lumba Paruh Panjang,Stenella Longirostris,DSI,binatang air lainnya
Lumba-Lumba Paus Kanan - Lissodelphis Peronii,Lumba-Lumba Paus Kanan,Lissodelphis Peronii,RSW,binatang air lainnya
Lumba-Lumba Putih - Sausa Chinensis,Lumba-Lumba Putih,Sausa Chinensis,,pelagis besar
Lumba-Lumba Putih - Sousa Chinensis,Lumba-Lumba Putih,Sousa Chinensis,DHI,binatang air lainnya
Lumba-Lumba Tak Bersirip - Neophocaena Phocaenoides,Lumba-Lumba Tak Bersirip,Neophocaena Phocaenoides,PFI,binatang air lainnya
Lumba-Lumba Totol - Stenella Attenuata,Lumba-Lumba Totol,Stenella Attenuata,DPN,binatang air lainnya
Make - Herklotsichthys Quadrimaculatus,Make,Herklotsichthys Quadrimaculatus,HES,Pelagis Kecil
Makerel Blacksail Snake - Thyrsitoides Marleyi,Makerel Blacksail Snake,Thyrsitoides Marleyi,THM,Pelagis Besar
Makerel Kuda - Trachurus Trachurus,Makerel Kuda,Trachurus Trachurus,HOM,pelagis kecil
Makerel Pasifik - Scomber Japonicus,Makerel Pasifik,Scomber Japonicus,MAS,pelagis kecil
Makerel Ular; Makerel Roudi Escolar - Promethichthys Prometheus,Makerel Ular; Makerel Roudi Escolar,Promethichthys Prometheus,PRP,Pelagis Kecil
Mamar - Choerodon Oligacanthus,Mamar,Choerodon Oligacanthus,,ikan karang
Mandarin Benteguri - Repomucenus Beniteguri,Mandarin Benteguri,Repomucenus Beniteguri,,ikan karang
Mandarin Datar Kapuran - Repomucenus Richardsonii,Mandarin Datar Kapuran,Repomucenus Richardsonii,,ikan karang
Mangla - Heteropriacanthus Cruentatus,Mangla,Heteropriacanthus Cruentatus,HTU,Ikan Karang
Many-Banded Pipefish - Dunckerocampus Multiannulatus,Many-Banded Pipefish,Dunckerocampus Multiannulatus,,ikan karang
Manyung - Arius Spp,Manyung,Arius Spp,AWX,Demersal
Manyung - Plicofollis Cheilos,Manyung,Plicofollis Cheilos,,Demersal
Manyung Besar - Arius Thalassinus,Manyung Besar,Arius Thalassinus,AUX,Demersal
Manyung Duri - Arius Venosus,Manyung Duri,Arius Venosus,AUV,Demersal
Manyung Gagora - Arius Gagora,Manyung Gagora,Arius Gagora,,Demersal
Manyung Hitam - Plicofollis Dussumieri,Manyung Hitam,Plicofollis Dussumieri,AUD,Demersal
Manyung Jahal - Plicofollis Argyropleuron,Manyung Jahal,Plicofollis Argyropleuron,,Demersal
Manyung Kambing - Arius Sumatranus,Manyung Kambing,Arius Sumatranus,,Demersal
Manyung Kecil - Arius Utik,Manyung Kecil,Arius Utik,,Demersal
Manyung Otek - Plicofollis Tonggol,Manyung Otek,Plicofollis Tonggol,QRO,Demersal
Manyung Perunggu - Netuma Bilineata,Manyung Perunggu,Netuma Bilineata,AUT,Demersal
Manyung Pesek - Arius Subrostratus,Manyung Pesek,Arius Subrostratus,,Demersal
Manyung Pidada - Arius Maculatus,Manyung Pidada,Arius Maculatus,CAO,Demersal
Manyung Sirip Benang - Arius Arius,Manyung Sirip Benang,Arius Arius,AUI,Demersal
Manyung Sunda - Hexanematichthys Sagor,Manyung Sunda,Hexanematichthys Sagor,ASG,Demersal
Manyung Tupai - Arius Microcephalus,Manyung Tupai,Arius Microcephalus,,Demersal
Manyung Utik - Netuma Thalassina,Manyung Utik,Netuma Thalassina,AUX,Demersal
Marble-Mouthed Frogfish - Lophiocharon Lithinostomus,Marble-Mouthed Frogfish,Lophiocharon Lithinostomus,LHL,demersal
Marilyna Darwinii - Marilyna Darwinii,Marilyna Darwinii,Marilyna Darwinii,MYW,demersal
Mata Besar - Sebastolobus Alascanus,Mata Besar,Sebastolobus Alascanus,SJU,demersal
Mata Besar - Sebastolobus Macrochir,Mata Besar,Sebastolobus Macrochir,SJW,demersal
Mata Sebelah - Pseudorhombus Javanicus,Mata Sebelah,Pseudorhombus Javanicus,UHJ,Demersal
Maxweber'S Pipefish - Cosmocampus Maxweberi,Maxweber'S Pipefish,Cosmocampus Maxweberi,,ikan karang
Messmate Pipefish - Corythoichthys Haematopterus,Messmate Pipefish,Corythoichthys Haematopterus,DBY,ikan karang
Moa - Uroconger Lepturus,Moa,Uroconger Lepturus,CUL,demersal
Money Cowrie - Cypraea Moneta,Money Cowrie,Cypraea Moneta,,binatang lunak
Moorish Idol - Zanclus Cornutus,Moorish Idol,Zanclus Cornutus,ZAO,Ikan Karang
Mujaer Laut - Lobotes Surinamensis,Mujaer Laut,Lobotes Surinamensis,LOB,Demersal
Mungkus Giuris - Glossogobius Giuris,Mungkus Giuris,Glossogobius Giuris,GOU,Demersal
Myer'S Pipefish - Minyichthys Myersi,Myer'S Pipefish,Minyichthys Myersi,MIY,ikan karang
Napoleon - Cheilinus Undulatus,Napoleon,Cheilinus Undulatus,HVM,Ikan Karang
Napoleon Merah - Oxycheilinus Orientalis,Napoleon Merah,Oxycheilinus Orientalis,,Demersal
Nautilus Berongga - Nautilus Pompilius,Nautilus Berongga,Nautilus Pompilius,NUK,0
Nautilus Berongga - Nautilus Pompilus,Nautilus Berongga,Nautilus Pompilus,,binatang lunak
Nike - Sicyopterus Lagocephalus,Nike,Sicyopterus Lagocephalus,IYL,Pelagis Kecil
Nike Moncong Besar - Awaous Melanocephalus,Nike Moncong Besar,Awaous Melanocephalus,,Pelagis Besar
Nomei - Harpadon Nehereus,Nomei,Harpadon Nehereus,BUC,Demersal
Nudibranch - Phyllidia Coelestis,Nudibranch,Phyllidia Coelestis,,binatang lunak
Nudibranch - Phyllidia Varicosa,Nudibranch,Phyllidia Varicosa,,binatang lunak
Nuri-Nuri Cabang Tiga - Cheilinus Trilobatus,Nuri-Nuri Cabang Tiga,Cheilinus Trilobatus,HUU,Ikan Karang
Nuri-Nuri Keling - Thalassoma Trilobatum,Nuri-Nuri Keling,Thalassoma Trilobatum,,Ikan Karang
Nyunglas - Acanthocybium Solandri,Nyunglas,Acanthocybium Solandri,WAH,Pelagis Besar
Ocellated Waspfish - Apistus Carinatus,Ocellated Waspfish,Apistus Carinatus,AIA,demersal
Offshore Pipefish - Micrognathus Natans,Offshore Pipefish,Micrognathus Natans,,demersal
Opah - Lampris Guttatus,Opah,Lampris Guttatus,LAG,Pelagis Besar
Paitpait - Rhinobatos Jimbaranensis,Paitpait,Rhinobatos Jimbaranensis,,demersal
Pangkah - Ambassis Gymnocephalus,Pangkah,Ambassis Gymnocephalus,MBG,Demersal
Parang-Parang - Macrochirichthys Macrochirus,Parang-Parang,Macrochirichthys Macrochirus,MCO,Ikan Air Tawar
Pari - Dasyatis Cf Akajei,Pari,Dasyatis Cf Akajei,,demersal
Pari - Dasyatis Cf Annotata,Pari,Dasyatis Cf Annotata,,demersal
Pari - Dasyatis Zugei,Pari,Dasyatis Zugei,RDZ,Demersal
Pari - Himantura Chaophraya,Pari,Himantura Chaophraya,,demersal
Pari - Himantura Hortlei,Pari,Himantura Hortlei,,demersal
Pari - Okamejei Cf Boesemani,Pari,Okamejei Cf Boesemani,,demersal
Pari - Okamejei Cf Powelli,Pari,Okamejei Cf Powelli,,demersal
Pari - Plesiobatis Daviesi,Pari,Plesiobatis Daviesi,RPD,demersal
Pari Aer - Maculabatis Pastinacoides,Pari Aer,Maculabatis Pastinacoides,,Demersal
Pari Air Tawar - Potamotrygon Menchacai,Pari Air Tawar,Potamotrygon Menchacai,,demersal
Pari Babi - Taeniura Meyeni,Pari Babi,Taeniura Meyeni,RTE,Demersal
Pari Babi - Taeniurops Meyeni,Pari Babi,Taeniurops Meyeni,RTE,Demersal
Pari Bendera - Pastinachus Sephen,Pari Bendera,Pastinachus Sephen,DYP,Demersal
Pari Bendera 1 Mutiara - Pastinachus Solocirostris,Pari Bendera 1 Mutiara,Pastinachus Solocirostris,,Demersal
Pari Bendera 2 Mutiara - Pastinachus Gracilicaudus,Pari Bendera 2 Mutiara,Pastinachus Gracilicaudus,,Demersal
Pari Bertepi Pucat - Telatrygon Zugei,Pari Bertepi Pucat,Telatrygon Zugei,RDZ,Demersal
Pari Bintang - Himantura Gerrardi,Pari Bintang,Himantura Gerrardi,,demersal
Pari Bintang - Maculabatis Gerrardi,Pari Bintang,Maculabatis Gerrardi,DHG,Demersal
Pari Bintik - Urogymnus Granulatus,Pari Bintik,Urogymnus Granulatus,DHR,demersal
Pari Blentik - Neotrygon Orientalis,Pari Blentik,Neotrygon Orientalis,RDK,Demersal
Pari Boro - Dasyatis Cf Ushiei,Pari Boro,Dasyatis Cf Ushiei,,demersal
Pari Burung - Aetobatus Flagellum,Pari Burung,Aetobatus Flagellum,MAF,demersal
Pari Burung - Aetomylaeus Nichofii,Pari Burung,Aetomylaeus Nichofii,RYH,Demersal
Pari Burung - Rhinoptera Javanica,Pari Burung,Rhinoptera Javanica,MRJ,demersal
Pari Burung Bintik Putih - Aetomylaeus Maculatus,Pari Burung Bintik Putih,Aetomylaeus Maculatus,RYM,Demersal
Pari Burung Tutul - Aetobatus Narinari,Pari Burung Tutul,Aetobatus Narinari,MAE,Demersal
Pari Cingir - Pateobatis Bleekeri,Pari Cingir,Pateobatis Bleekeri,DHB,Demersal
Pari Cokelat - Dasyatis Teylandi,Pari Cokelat,Dasyatis Teylandi,,demersal
Pari Cucut - Rhinobatos Typus,Pari Cucut,Rhinobatos Typus,,demersal
Pari Duren - Urogymnus Asperrimus,Pari Duren,Urogymnus Asperrimus,RUA,Demersal
Pari Duri - Himantura Jenkinsii,Pari Duri,Himantura Jenkinsii,DHJ,Demersal
Pari Duri - Himantura Pastinacoides,Pari Duri,Himantura Pastinacoides,,demersal
Pari Duri - Pateobatis Jenkinsii,Pari Duri,Pateobatis Jenkinsii,DHJ,Demersal
Pari Elang - Aetomylaeus Vespertilio,Pari Elang,Aetomylaeus Vespertilio,RYE,demersal
Pari Elang - Myliobatis Tobijei,Pari Elang,Myliobatis Tobijei,MYJ,demersal
Pari Elang - Rhinoptera Spp,Pari Elang,Rhinoptera Spp,,demersal
Pari Gergaji - Pristis Pristis,Pari Gergaji,Pristis Pristis,RPR,Demersal
Pari Gergaji Hijau - Pristis Zijsron,Pari Gergaji Hijau,Pristis Zijsron,RPZ,0
Pari Gergaji Kerdil - Pristis Clavata,Pari Gergaji Kerdil,Pristis Clavata,RPC,0
Pari Gergaji Lancip - Anoxypristis Cuspidata,Pari Gergaji Lancip,Anoxypristis Cuspidata,RPA,0
Pari Gitar - Rhinobatos Penggali,Pari Gitar,Rhinobatos Penggali,,demersal
Pari Gitar - Rhinobatos Thouin,Pari Gitar,Rhinobatos Thouin,,demersal
Pari Hidung - Dasyatis Spp,Pari Hidung,Dasyatis Spp,STI,Demersal
Pari Hidung Sekop - Aptychotrema Rostrata,Pari Hidung Sekop,Aptychotrema Rostrata,RAR,Demersal
Pari Hidung Sekop - Rhinobatos Spp,Pari Hidung Sekop,Rhinobatos Spp,GUZ,Demersal
Pari Kai - Urolophus Kaianus,Pari Kai,Urolophus Kaianus,RTK,demersal
Pari Kampret - Gymnura Micrura,Pari Kampret,Gymnura Micrura,RGI,Demersal
Pari Kekeh - Rhynchobatus Djiddensis,Pari Kekeh,Rhynchobatus Djiddensis,RCD,Demersal
Pari Kekeh Australia - Rhynchobatus Australiae,Pari Kekeh Australia,Rhynchobatus Australiae,RCA,Demersal
Pari Kekeh Spingeri - Rhynchobatus Springeri,Pari Kekeh Spingeri,Rhynchobatus Springeri,RZR,Demersal
Pari Kelapa - Pastinachus Ater,Pari Kelapa,Pastinachus Ater,,Demersal
Pari Kelapa - Trygon Sephen,Pari Kelapa,Trygon Sephen,,Demersal
Pari Kelelawar - Dipturus Spp,Pari Kelelawar,Dipturus Spp,,demersal
Pari Kelelawar - Gymnura Japanica,Pari Kelelawar,Gymnura Japanica,,demersal
Pari Kelelawar - Mobula Spp,Pari Kelelawar,Mobula Spp,RMV,Demersal
Pari Kelelawar Batik - Gymnura Japonica,Pari Kelelawar Batik,Gymnura Japonica,RGJ,Demersal
Pari Kelelawar Berduri - Gymnura Zonura,Pari Kelelawar Berduri,Gymnura Zonura,RGZ,Demersal
Pari Kelelawar Bintik - Gymnura Poecilura,Pari Kelelawar Bintik,Gymnura Poecilura,RGP,Demersal
Pari Kembang - Dasyatis Kuhlii,Pari Kembang,Dasyatis Kuhlii,,Demersal
Pari Kembang - Neotrygon Kuhlii,Pari Kembang,Neotrygon Kuhlii,RDK,Demersal
Pari Kembang - Taeniura Lymma,Pari Kembang,Taeniura Lymma,RTY,Demersal
Pari Kupu-Kupu - Rhina Ancylostoma,Pari Kupu-Kupu,Rhina Ancylostoma,RRY,Demersal
Pari Lemer - Dasyatis Violacea,Pari Lemer,Dasyatis Violacea,,Demersal
Pari Lemer - Pteroplatytrygon Violacea,Pari Lemer,Pteroplatytrygon Violacea,PLS,Demersal
Pari Listrik - Narcine Spp,Pari Listrik,Narcine Spp,,demersal
Pari Macan - Himantura Fava,Pari Macan,Himantura Fava,,demersal
Pari Macan - Himantura Uarnak,Pari Macan,Himantura Uarnak,DHV,Demersal
Pari Manta Besar - Mobula Birostris,Pari Manta Besar,Mobula Birostris,RMB,Demersal
Pari Manta Karang - Manta Alfredi,Pari Manta Karang,Manta Alfredi,,demersal
Pari Manta Karang - Mobula Alfredi,Pari Manta Karang,Mobula Alfredi,RMA,Demersal
Pari Manta Oseanik - Manta Birostris,Pari Manta Oseanik,Manta Birostris,,demersal
Pari Merica - Himantura Undulata,Pari Merica,Himantura Undulata,DHL,Demersal
Pari Minyak - Himantura Fai,Pari Minyak,Himantura Fai,,demersal
Pari Mobula - Mobula Japanica,Pari Mobula,Mobula Japanica,,demersal
Pari Mobula - Mobula Kuhlii,Pari Mobula,Mobula Kuhlii,RMK,Demersal
Pari Mobula - Mobula Tarapacana,Pari Mobula,Mobula Tarapacana,RMT,demersal
Pari Mobula - Mobula Thurstoni,Pari Mobula,Mobula Thurstoni,RMO,demersal
Pari Muara - Hemitrygon Spp,Pari Muara,Hemitrygon Spp,RDF,Pelagis Besar
Pari Pasung - Himantura Uarnacoides,Pari Pasung,Himantura Uarnacoides,,demersal
Pari Pasung - Pateobatis Uarnacoides,Pari Pasung,Pateobatis Uarnacoides,,Demersal
Pari Plain Maskray - Neotrygon Annotata,Pari Plain Maskray,Neotrygon Annotata,RDN,Pelagis Besar
Pari Sapi - Dasyatis Microps,Pari Sapi,Dasyatis Microps,,demersal
Pari Tanjung - Brevitrygon Imbricata,Pari Tanjung,Brevitrygon Imbricata,DHM,Demersal
Pari Tembaga - Pateobatis Fai,Pari Tembaga,Pateobatis Fai,DHF,Demersal
Pari Toka-Toka - Brevitrygon Heterura,Pari Toka-Toka,Brevitrygon Heterura,,Demersal
Pari Tutul - Himantura Toshi,Pari Tutul,Himantura Toshi,,demersal
Pasir-Pasir Bergaris - Scolopsis Lineata,Pasir-Pasir Bergaris,Scolopsis Lineata,NQG,Ikan Karang
Pasir-Pasir Dua Garis - Scolopsis Bilineata,Pasir-Pasir Dua Garis,Scolopsis Bilineata,NSC,Ikan Karang
Pasir-Pasir Mutiara - Scolopsis Margaritifera,Pasir-Pasir Mutiara,Scolopsis Margaritifera,,Ikan Karang
Pasir-Pasir Pelangi - Scolopsis Monogramma,Pasir-Pasir Pelangi,Scolopsis Monogramma,NSO,Ikan Karang
Pasir-Pasir Strip Kuning - Scolopsis Aurata,Pasir-Pasir Strip Kuning,Scolopsis Aurata,JBI,Ikan Karang
Patin - Pangasius Pangasius,Patin,Pangasius Pangasius,PGP,Ikan Air Tawar
Paus Bergigi Blainveel - Mesoplodon Densirostris,Paus Bergigi Blainveel,Mesoplodon Densirostris,BBW,binatang air lainnya
Paus Bergigi Ginko - Mesoplodon Ginkgodens,Paus Bergigi Ginko,Mesoplodon Ginkgodens,TGW,binatang air lainnya
Paus Bergigi Sekop - Indopacetus Pacificus,Paus Bergigi Sekop,Indopacetus Pacificus,BNW,binatang air lainnya
Paus Biru - Balaenoptera Musculus,Paus Biru,Balaenoptera Musculus,BLW,binatang air lainnya
Paus Bongkok - Megaptera Novaeangliae,Paus Bongkok,Megaptera Novaeangliae,HUW,Pelagis Besar
Paus Bryde - Balaenoptera Brydei,Paus Bryde,Balaenoptera Brydei,,binatang air lainnya
Paus Bryde - Balaenoptera Edeni,Paus Bryde,Balaenoptera Edeni,BRW,binatang air lainnya
Paus Gembala Laut - Balaenoptera Omurai,Paus Gembala Laut,Balaenoptera Omurai,BXO,binatang air lainnya
Paus Kepala Melon - Peponocephala Electra,Paus Kepala Melon,Peponocephala Electra,MEW,binatang air lainnya
Paus Kepala Semangka - Pephonacephala Electra,Paus Kepala Semangka,Pephonacephala Electra,,pelagis besar
Paus Minke - Balaenoptera Acutorostrata,Paus Minke,Balaenoptera Acutorostrata,MIW,binatang air lainnya
Paus Minke Antartika - Balaenoptera Bonaerensis,Paus Minke Antartika,Balaenoptera Bonaerensis,BFW,binatang air lainnya
Paus Paruh Curvier - Ziphius Cavirostris,Paus Paruh Curvier,Ziphius Cavirostris,BCW,binatang air lainnya
Paus Pemandu Sirip Pendek - Globicephala Macrorhynchus,Paus Pemandu Sirip Pendek,Globicephala Macrorhynchus,SHW,binatang air lainnya
Paus Pembunuh - Orcinus Orca,Paus Pembunuh,Orcinus Orca,KIW,binatang air lainnya
Paus Pembunuh Kerdil - Feresa Attenuata,Paus Pembunuh Kerdil,Feresa Attenuata,KPW,binatang air lainnya
Paus Pembunuh Palsu - Pseudorca Crassidens,Paus Pembunuh Palsu,Pseudorca Crassidens,FAW,binatang air lainnya
Paus Sei - Balaenoptera Borealis,Paus Sei,Balaenoptera Borealis,SIW,binatang air lainnya
Paus Sirip - Balaenoptera Physalus,Paus Sirip,Balaenoptera Physalus,FIW,binatang air lainnya
Paus Sperma - Physeter Macrocephalus,Paus Sperma,Physeter Macrocephalus,SPW,binatang air lainnya
Paus Sperma Kerdil - Kogia Sima,Paus Sperma Kerdil,Kogia Sima,DWW,binatang air lainnya
Paus Sperma Kogia - Kogia Breviceps,Paus Sperma Kogia,Kogia Breviceps,PYW,binatang air lainnya
Paut-Paut - Grammoplites Scaber,Paut-Paut,Grammoplites Scaber,GVM,Demersal
Pe Sapi - Himantura Granulata,Pe Sapi,Himantura Granulata,,demersal
Pelo - Iniistius Dea,Pelo,Iniistius Dea,,demersal
Pelo - Iniistius Twistii,Pelo,Iniistius Twistii,,demersal
Pelo - Oxycheilinus Digramma,Pelo,Oxycheilinus Digramma,OVJ,ikan karang
Penginang - Tetrosomus Reipublicae,Penginang,Tetrosomus Reipublicae,,demersal
Penyu Anjing - Caretta Caretta,Penyu Anjing,Caretta Caretta,TTL,lainnya
Penyu Belimbing - Dermochelys Coriacea,Penyu Belimbing,Dermochelys Coriacea,DKK,lainnya
Penyu Hijau - Chelonia Mydas,Penyu Hijau,Chelonia Mydas,TUG,lainnya
Penyu Lumpur - Lepidochelys Olivacea,Penyu Lumpur,Lepidochelys Olivacea,LKV,lainnya
Penyu Punggung - Natator Depressus,Penyu Punggung,Natator Depressus,FBT,lainnya
Penyu Sisik - Eretmochelys Imbricata,Penyu Sisik,Eretmochelys Imbricata,TTH,lainnya
Peperek - Leiognathus Berbis,Peperek,Leiognathus Berbis,,Demersal
Peperek - Leiognathus Leuciscus,Peperek,Leiognathus Leuciscus,LCZ,Demersal
Peperek - Leiognathus Spp,Peperek,Leiognathus Spp,POY,Demersal
Peperek Bondolan - Leiognathus Bindus,Peperek Bondolan,Leiognathus Bindus,LCV,Demersal
Peperek Bondolan - Photopectoralis Bindus,Peperek Bondolan,Photopectoralis Bindus,LCV,Demersal
Peperek Cambuk - Equulites Leuciscus,Peperek Cambuk,Equulites Leuciscus,LCZ,Demersal
Peperek China - Eubleekeria Splendens,Peperek China,Eubleekeria Splendens,LGP,Demersal
Peperek China - Leiognathus Splendens,Peperek China,Leiognathus Splendens,,Demersal
Peperek Decorated - Nuchequula Gerreoides,Peperek Decorated,Nuchequula Gerreoides,KZL,Demersal
Peperek Lonjong - Equulites Elongatus,Peperek Lonjong,Equulites Elongatus,KZK,Demersal
Peperek Minuta - Gazza Minuta,Peperek Minuta,Gazza Minuta,GZM,Demersal
Peperek Petah - Equulites Berbis,Peperek Petah,Equulites Berbis,,Demersal
Peperek Topang - Leiognathus Equula,Peperek Topang,Leiognathus Equula,LGE,Demersal
Peperek Topang - Leiognathus Equulus,Peperek Topang,Leiognathus Equulus,LGE,Demersal
Peperek Zigzag - Leiognathus Moretoniensis,Peperek Zigzag,Leiognathus Moretoniensis,,demersal
Permit - Trachinotus Falcatus,Permit,Trachinotus Falcatus,TNF,Ikan Karang
Pesut Mahakam - Orcaella Brevirostris,Pesut Mahakam,Orcaella Brevirostris,IRD,binatang air lainnya
Petek - Aurigequula Fasciata,Petek,Aurigequula Fasciata,LGS,Demersal
Petek - Equulites Laterofenestra,Petek,Equulites Laterofenestra,FXD,Pelagis Kecil
Petek - Secutor Indicius,Petek,Secutor Indicius,,demersal
Petek Jones - Eubleekeria Jonesi,Petek Jones,Eubleekeria Jonesi,,demersal
Petek Ovoid - Gazza Dentex,Petek Ovoid,Gazza Dentex,,demersal
Petek Papua - Eubleekeria Rapsoni,Petek Papua,Eubleekeria Rapsoni,,demersal
Petek Pugnose - Secutor Insidiator,Petek Pugnose,Secutor Insidiator,UTI,Demersal
Pigfish Australia - Bodianus Vulpinus,Pigfish Australia,Bodianus Vulpinus,BZV,ikan karang
Pink Salmon - Oncorhynchus Mykiss,Pink Salmon,Oncorhynchus Mykiss,TRR,pelagis
Pink Squirrelfish - Sargocentron Tiereoides,Pink Squirrelfish,Sargocentron Tiereoides,,ikan karang
Pipa Bertutul Banyak - Corythoichthys Polynotatus,Pipa Bertutul Banyak,Corythoichthys Polynotatus,,ikan karang
Pipa Jamur Karang - Siokunichthys Nigrolineatus,Pipa Jamur Karang,Siokunichthys Nigrolineatus,,ikan karang
Pipa Karang Lunak - Siokunichthys Breviceps,Pipa Karang Lunak,Siokunichthys Breviceps,,ikan karang
Pipa Moncong Berduri - Halicampus Spinirostris,Pipa Moncong Berduri,Halicampus Spinirostris,,ikan karang
Pipa Mutiara - Halicampus Macrorhynchus,Pipa Mutiara,Halicampus Macrorhynchus,,ikan karang
Pisang-Pisang - Caesio Chrysozonus,Pisang-Pisang,Caesio Chrysozonus,,Ikan Karang
Pisang-Pisang - Paracaesio Sordida,Pisang-Pisang,Paracaesio Sordida,,ikan karang
Pisang-Pisang - Pterocaesio Diagramma,Pisang-Pisang,Pterocaesio Diagramma,,ikan karang
Pisang-Pisang - Pterocaesio Trilineata,Pisang-Pisang,Pterocaesio Trilineata,,ikan karang
Pisang-Pisang Apui - Dipterygonotus Balteatus,Pisang-Pisang Apui,Dipterygonotus Balteatus,DTB,Pelagis Kecil
Pisang-Pisang Bencong - Paracaesio Gonzalesi,Pisang-Pisang Bencong,Paracaesio Gonzalesi,LRG,Pelagis Kecil
Pisang-Pisang Bergaris Biru - Pterocaesio Tile,Pisang-Pisang Bergaris Biru,Pterocaesio Tile,UDK,Ikan Karang
Pisang-Pisang Dua Garis Kuning - Pterocaesio Digramma,Pisang-Pisang Dua Garis Kuning,Pterocaesio Digramma,TED,Ikan Karang
Pisang-Pisang Mata Besar - Paracaesio Stonei,Pisang-Pisang Mata Besar,Paracaesio Stonei,LWR,Ikan Karang
Pisang-Pisang Paralolosi - Paracaesio Kusakarii,Pisang-Pisang Paralolosi,Paracaesio Kusakarii,LRK,Ikan Karang
Pisang-Pisang Satu Garis - Pterocaesio Tessellata,Pisang-Pisang Satu Garis,Pterocaesio Tessellata,TET,Ikan Karang
Pisang-Pisang Sulir - Paracaesio Xanthura,Pisang-Pisang Sulir,Paracaesio Xanthura,LRX,Ikan Karang
Pisang-Pisang Tompel Kuning - Pterocaesio Randalli,Pisang-Pisang Tompel Kuning,Pterocaesio Randalli,,Ikan Karang
Pisang-Pisang Ujung Hitam - Pterocaesio Chrysozona,Pisang-Pisang Ujung Hitam,Pterocaesio Chrysozona,TEC,Ikan Karang
Pisang-Pisang Ujung Merah - Pterocaesio Pisang,Pisang-Pisang Ujung Merah,Pterocaesio Pisang,TEI,Ikan Karang
Pisau-Pisau Turik - Centriscus Scutatus,Pisau-Pisau Turik,Centriscus Scutatus,FHS,Demersal
Polip Cengkeh Putih - Clavularia Inflata,Polip Cengkeh Putih,Clavularia Inflata,,ikan karang
Polip Kuning - Parazoanthus Gracilis,Polip Kuning,Parazoanthus Gracilis,,ikan karang
Poreface Longfin - Plesiops Facicavus,Poreface Longfin,Plesiops Facicavus,,ikan karang
Pukat - Strombus Canarium,Pukat,Strombus Canarium,,binatang lunak
Puput Lebar - Ilisha Melastoma,Puput Lebar,Ilisha Melastoma,PIE,Pelagis Kecil
Puput Lonjong - Ilisha Elongata,Puput Lonjong,Ilisha Elongata,EIL,Pelagis Kecil
Raja Laut - Latimeria Menadoensis,Raja Laut,Latimeria Menadoensis,,demersal
Rajungan - Portunus Hastatus,Rajungan,Portunus Hastatus,,Binatang Berkulit Keras
Rajungan - Portunus Spp,Rajungan,Portunus Spp,CRS,Binatang Berkulit Keras
